Category,Text
FALSE,சூசிகை
FALSE,சேஷ்டன்
FALSE,சொஸ்தம்
FALSE,சோமவாரம்
FALSE,ஞாபகம்
TRUE,தத்தம்
FALSE,தவசு
FALSE,தராசு
FALSE,தருணம்
FALSE,ஸ்தாநம்
FALSE,தாமம்
FALSE,தியாகம்
TRUE,திருத்தி
TRUE,தீர்க்கதரிசி
FALSE,ஸ்துதி
TRUE,தூரதிருஷ்டிக்கண்ணாடி
TRUE,தெய்வபக்தி
FALSE,நகுலம்
TRUE,நந்தனவனம்
FALSE,நாதம்
TRUE,நிச்சயம்
TRUE,நிபந்தனை
FALSE,நியமனம்
TRUE,நிர்ப்பந்தம்
FALSE,பகவான்
TRUE,பட்சணம்
FALSE,பதி
TRUE,பந்தம்
TRUE,பரிசுத்தம்
FALSE,பலி
FALSE,பாஷியம்
FALSE,பாபி
FALSE,பிசாசு
FALSE,பிரகாசம்
TRUE,பிரசித்தி
FALSE,பிரதேசம்
FALSE,பிரமா
FALSE,பிரயாசை
FALSE,பிராகாமியம்
TRUE,பிரேரேபித்தல்
TRUE,புட்பவதி
FALSE,புருடன்
FALSE,பூதம்
FALSE,போகம்
FALSE,பூரணை
FALSE,மதம்
TRUE,மநோராச்சியம்
TRUE,மாதாந்தம்
FALSE,மிசிரம்
TRUE,முத்திரை
FALSE,மோகம்
TRUE,யாத்திரை
FALSE,யோசனை
TRUE,வக்கிரம்
FALSE,வர்ணம்
FALSE,வயசு
TRUE,வர்க்கம்
FALSE,வாசனை
FALSE,வாமம்
FALSE,விஜயம்
TRUE,விச்சை
FALSE,விதம்
TRUE,விந்தை
FALSE,வியாபாரம்
FALSE,விவசாயம்
FALSE,வேதனம்
FALSE,யானெனல்
FALSE,வையம்
FALSE,அனல்
TRUE,நேரமின்மை
TRUE,துப்புரவின்மை
TRUE,நூற்கூறுபாடு
FALSE,மாலை
TRUE,அளவின்மை
FALSE,உதவி
TRUE,துணை மருந்து
FALSE,நிலைமை
FALSE,வேறு
FALSE,நூலறிவு
TRUE,புதுப்புனலாட்டு
FALSE,அருமை
FALSE,காலம்
TRUE,விருப்பு
TRUE,உரிமைப்படுத்தல்
TRUE,பிறப்பு
TRUE,ஊட்டுப்புரை
FALSE,நேர் வருகை
TRUE,விருப்பம்
TRUE,எதிர்மொழி
TRUE,மேன்மை
FALSE,ஊறுபாடு
TRUE,ஆண்டு
FALSE,கோயில்
FALSE,முகமன்
TRUE,அன்பு
FALSE,காலன்
FALSE,குருதி
FALSE,திறை
FALSE,கையிறை
FALSE,அழிவு
FALSE,குறி
TRUE,உயர்வு
TRUE,தண்ணளி
TRUE,மதிப்பு
FALSE,கிளையாறு
TRUE,அசட்டை
FALSE,உலகம்
TRUE,உண்மை
TRUE,துன்பம்
TRUE,வன்மை
TRUE,கண்ணெச்சில்
TRUE,சிவப்பேறு
TRUE,நண்டு
FALSE,உடல்
TRUE,கோட்சாரம்
FALSE,செயல்
FALSE,கேடு
FALSE,மகள்
FALSE,குலமகள்
FALSE,ஆனீர்
FALSE,நயம்
TRUE,வல்லமை
FALSE,எண்
TRUE,நாற்பக்கம்
TRUE,எச்சம்
TRUE,மகிழ்ச்சி
FALSE,கழகம்
FALSE,அமைதி
TRUE,கூட்டம்
TRUE,ஈட்டல்
FALSE,நாமகள்
FALSE,தாமரை
TRUE,பிறப்பு
TRUE,எட்டுறுப்பு
FALSE,துறவி
FALSE,தலைவன்
TRUE,விரைவின்மை
TRUE,ஒப்பனை
FALSE,பேறு
TRUE,மகளுக்குக் கொடுக்கும் கொடை
FALSE,விரைவு
TRUE,பிழைப்பு
TRUE,தன்மை
TRUE,கொப்பூழ்
FALSE,வெயிலோன்
FALSE,தொழுதல்
TRUE,கோள்நூலார்
FALSE,பகல் வழியளவு
TRUE,காணிக்கை
TRUE,கம்பி
TRUE,இரக்கம்
FALSE,எளிமை
TRUE,இவ்வேளை
TRUE,அட்டி
FALSE,கண்
TRUE,கொடிமுந்திரி
TRUE,விளக்குத்தண்டு
FALSE,தீயவன்
TRUE,இகழ்ச்சி
FALSE,அனல்
TRUE,ஊக்கம்
FALSE,ஆறு
FALSE,புதுமை
TRUE,ஒழிப்பு
TRUE,தூக்கம்
TRUE,ஒழுங்கு
TRUE,வேரோடு கல்லல்
FALSE,அறம்
TRUE,சந்தை
FALSE,விரைதல்
TRUE,மருந்துணா
TRUE,தன்னுணர்வின்மை
TRUE,வலுக்குறைவு
TRUE,அன்பு
FALSE,உரிமை
TRUE,ஒப்பு
TRUE,மூதாட்கள் கடன்
FALSE,கடவுளுணா
TRUE,மேற்கோள்
FALSE,புகழ்
TRUE,அளக்கப்படும் பொருள்
TRUE,முயற்சி
TRUE,வேண்டுகோள்
TRUE,தடிப்பு
FALSE,மகள்
FALSE,அணிகலன்
TRUE,ஒவ்வாமை
FALSE,சோறு
FALSE,தலையணி
TRUE,மனவருத்தம்
FALSE,நினைவு
TRUE,இறைச்சி
FALSE,வேடன்
FALSE,முகில்
TRUE,இயற்கை
FALSE,தவநிலை
FALSE,புண்
FALSE,பொருள்
FALSE,வழிபாடு
FALSE,அருள்
FALSE,வாயுரை
TRUE,இசைக்கருவி
TRUE,அழகின்மை
TRUE,வியப்பு
FALSE,திருமால்
FALSE,புலவன்
FALSE,விரிவுரை
FALSE,முரண்
FALSE,மறவர்
TRUE,கொண்டாட்டம்
TRUE,அகம்பாவம்
TRUE,அக்கி
TRUE,அங்கவீனன்
FALSE,அசம்
TRUE,அஞ்ஞாதவாசம்
TRUE,அதிட்டம்
FALSE,அஸ்திபாரம்
FALSE,அநாதி
TRUE,அநுட்டித்தல்
FALSE,அநுமதி
TRUE,அந்தரங்கம்
TRUE,அபகரித்தல்
FALSE,அபாயம்
TRUE,அபிப்பிராயம்
TRUE,அப்பிராணி
TRUE,அயபஸ்பம்
FALSE,அருவம்
TRUE,அலட்சியம்
FALSE,அவமானம்
FALSE,ஆகாரம்
FALSE,ஆசாரம்
TRUE,ஆச்சரியம்
FALSE,ஆதாரம்
FALSE,ஆதுலம்
TRUE,ஆமோதித்தல்
FALSE,ஆரம்
FALSE,ஆவசியம்
FALSE,இடபம்
FALSE,இதரம்
FALSE,இரசவாதம்
FALSE,இராஜா
FALSE,இதயம்
TRUE,இலக்குமி
FALSE,இலாகிரி
FALSE,ஈடணம்
TRUE,உச்சி
FALSE,உதிரம்
FALSE,உபகாரம்
FALSE,உபாதி
TRUE,உருத்திராக்கம்
TRUE,உற்சவம்
FALSE,ஏகதேசம்
FALSE,ஔடதம்
TRUE,கஷ்டசாத்தியம்
FALSE,கந்மஷம்
FALSE,கருணை
FALSE,கலியாணம்
TRUE,காலக்கிரமம்
TRUE,கிரகித்தல்
FALSE,கிருஷ்ணபக்ஷம்
TRUE,குஞ்சரம்
TRUE,கும்பம்
TRUE,கைங்கரியம்
FALSE,சகலம்
FALSE,சகோதரி
TRUE,சங்கமம்
TRUE,சஞ்சிதம்
TRUE,சத்தியம்
TRUE,சந்திரன்
TRUE,சந்நியாசி
TRUE,சமத்துவம்
FALSE,சமாதி
FALSE,சம்ஸ்கிருதம்
TRUE,சம்மதம்
FALSE,சரம்
FALSE,சலம்
TRUE,சாக்கிரம்
FALSE,சாதனம்
TRUE,சாந்திரம்
FALSE,சாயுச்சியம்
TRUE,சிகிச்சை
TRUE,சிட்சை
FALSE,சிரஞ்சீவி
FALSE,சிரேஷ்டன்
FALSE,சீதோஷ்ணம்
FALSE,சுகாதாரம்
FALSE,சுரம்
FALSE,சூசிகை
FALSE,சேஷ்டன்
FALSE,சொஸ்தம்
FALSE,சோலி
FALSE,தகநம்
TRUE,தத்துவம்
FALSE,தபால்
FALSE,தராசு
FALSE,தருணம்
FALSE,ஸ்தாநம்
TRUE,தாம்பரபரணி
TRUE,தியானித்தல்
TRUE,திருத்தி
TRUE,தீர்க்கம்
FALSE,துரிதம்
FALSE,தூரம்
FALSE,தேவன்
TRUE,நடராஜமூர்த்தி
FALSE,நபர்
FALSE,நாதம்
TRUE,நிச்சயம்
FALSE,நிபுணர்
FALSE,நியமனம்
TRUE,நிர்ப்பந்தம்
FALSE,பகவான்
TRUE,பட்சம்
FALSE,பதிவிரதை
TRUE,பந்தி
TRUE,பரிசுத்தம்
FALSE,பலி
FALSE,பாஷியம்
FALSE,பாயுரு
TRUE,பிச்சை
FALSE,பிரகாசம்
TRUE,பிரசித்தி
TRUE,பிரத்தாபம்
FALSE,பிரமாணம்
FALSE,பிரயாசை
FALSE,பிராணவாயு
FALSE,பீசம்
TRUE,புண்ணிய திநம்
TRUE,புருடார்த்தம்
FALSE,பூதம்
FALSE,போகம்
FALSE,பௌவம்
FALSE,மது
TRUE,மந்தம்
FALSE,மாத்சரியம்
FALSE,மிதம்
FALSE,மூடர்
FALSE,மோகம்
FALSE,யுகம்
FALSE,யோசனை
FALSE,வசநம்
FALSE,வதநம்
FALSE,வயசு
FALSE,வருடம்
TRUE,வாஞ்சை
FALSE,வாயு
FALSE,விஜயம்
TRUE,வித்தை
FALSE,விதம்
FALSE,விநோதம்
FALSE,விரதம்
FALSE,விவசாயம்
FALSE,வேதனை
TRUE,தற்செயல்
FALSE,நிலம்
FALSE,எரி
TRUE,காலந்தவறு
TRUE,தூய்மையின்மை
TRUE,ஆட்சி
FALSE,மறைவு
TRUE,முடிவில்லது
TRUE,நன்மை
TRUE,கூட்டு மருந்து
TRUE,ஒழுங்கு
TRUE,வேற்றுமை
TRUE,ஒறுப்புக்கட்டணம்
TRUE,திருமுழுக்கு
FALSE,அரிய பொருள்
FALSE,எண்
FALSE,வைகறை
TRUE,ஒப்புவித்தல்
TRUE,இறங்குகை
FALSE,விண்
TRUE,இருக்கை
FALSE,அவா
FALSE,துணை
FALSE,தலைமை
TRUE,அருவருப்பு
FALSE,கருவி
FALSE,தழுவல்
TRUE,விருப்பம்
FALSE,அறம்
FALSE,மறலி
TRUE,செந்நீர்
FALSE,முனிவன்
FALSE,நிறை
TRUE,விலையின்மை
FALSE,அடையாளம்
TRUE,சிறப்பு
TRUE,ஈகைத்தன்மை
TRUE,ஏறக்குறைய
TRUE,பூணூற்சடங்கு
TRUE,விருப்பின்மை
TRUE,"வெள்ளி, பொன், செம்பு முதலியன"
TRUE,விருப்பப்படி
TRUE,தீங்கு
FALSE,கடுமை
TRUE,கூட்டம்
TRUE,நொடித்தான்மலை
TRUE,முழக்கம்
TRUE,யாக்கை
TRUE,பற்றுதல்
FALSE,வினை
FALSE,சிதைவு
TRUE,நங்கை
FALSE,சூலை
FALSE,கொடுமை
TRUE,நன்மை
FALSE,வலி
FALSE,ஐயம்
FALSE,ஓசை
TRUE,கால்வழி
FALSE,உவகை
TRUE,அரங்கம்
TRUE,இணக்கம்
FALSE,ஐயம்
FALSE,தேடல்
TRUE,அடைக்கலம்
TRUE,பல்கலைக்கழகம்
FALSE,காரி
TRUE,பயிற்சி
FALSE,திறமை
FALSE,அடிகள்
FALSE,ஒழிவு
TRUE,திருத்தம்
TRUE,ஆக்கம்
TRUE,மகட்கொடை
TRUE,ஒல்லை
TRUE,வாழ்நாள்
TRUE,இயற்கை
TRUE,தனதாக்குதல்
TRUE,வெய்யோன்
TRUE,வணங்கல்
TRUE,காலக்கணிதர்
TRUE,சுற்றம்
TRUE,காணிக்கை
TRUE,மின்செய்தி
TRUE,கண்ணோட்டம்
TRUE,நல்குரவு
FALSE,விடாய்
FALSE,மயல்
TRUE,பார்வை
FALSE,பெண்
TRUE,கலங்கரை விளக்கம்
TRUE,பட்டி
FALSE,பழி
TRUE,கடவுட் பற்று
TRUE,எண்ணெய்
FALSE,யாறு
TRUE,பாம்பு
TRUE,உண்மை
FALSE,துயில்
TRUE,பிறழா நிகழ்ச்சி
TRUE,கொண்டு நடத்தல்
TRUE,முறைமன்றம்
TRUE,அங்காடி
TRUE,அஞ்சல்
TRUE,செய்யுள்
TRUE,ஆண்டகை
FALSE,பழம்
FALSE,மொழி
FALSE,ஏனம்
TRUE,எண்ணம்
TRUE,தென்புலத்தார் கடன்
FALSE,தேவுணா
TRUE,நிலைபெறுத்தல்
FALSE,பெருமை
TRUE,மயக்கம்
TRUE,அழிவுக்காலம்
TRUE,அன்பு
FALSE,பூ
TRUE,தோள்வலி
FALSE,அணி
TRUE,வேற்றுமை
FALSE,உணவு
FALSE,முடி
FALSE,இடையறா நினைவு
TRUE,உணர்ச்சி
FALSE,ஊன்
TRUE,கயற்கண்ணி
FALSE,எழிலி
FALSE,மிகுதி
TRUE,ஒன்றுதல்
TRUE,மெய்ப்பித்தல்
FALSE,நிறம்
TRUE,வணக்கவுரை
FALSE,இனம்
FALSE,சொல்
TRUE,குரங்கு
FALSE,நேயம்
FALSE,புதுமை
FALSE,திருமால்
FALSE,ஒலிமுதல்
TRUE,கட்டுரை
FALSE,மாறுபாடு
FALSE,மறம்
TRUE,நிகழ்ச்சி
TRUE,அகம்பாவம்
TRUE,அக்கி
TRUE,அங்கவீனன்
FALSE,அசல்
TRUE,அஞ்ஞானம்
TRUE,அதிட்டம்
FALSE,அஸ்திபாரம்
FALSE,அநாதி
FALSE,அநுதினம்
FALSE,அநுமதி
TRUE,அந்தரங்கம்
TRUE,அபகரித்தல்
FALSE,அபாயம்
TRUE,அபிப்பிராயம்
TRUE,அப்பிராணி
TRUE,அயோக்கிதை
TRUE,அர்ச்சனை
FALSE,அலுவா
FALSE,அவயவம்
FALSE,ஆகாரம்
FALSE,ஆசாரம்
FALSE,ஆஸ்தி
FALSE,ஆதாரம்
TRUE,ஆத்திரம்
TRUE,ஆயத்தம்
TRUE,ஆரம்பம்
FALSE,ஆவலாதி
FALSE,இடபம்
FALSE,இதாதீதம்
FALSE,இரசாபாசம்
FALSE,இராஜா
FALSE,இதயம்
TRUE,இலக்குமி
FALSE,இலாகிரி
FALSE,ஈநம்
TRUE,உச்சி
FALSE,உதிரம்
FALSE,உபகாரம்
FALSE,உபாதி
TRUE,உரூபித்தல்
TRUE,ஊகித்தல்
FALSE,ஏகதேசம்
FALSE,ஔபாசனம்
FALSE,கணபதி
FALSE,கந்மஷம்
TRUE,கருத்தா
FALSE,கவி
TRUE,காலச்சேபம்
TRUE,கிரகித்தல்
FALSE,கிருபை
FALSE,குஷ்டம்
FALSE,குருபக்தி
TRUE,கைங்கரியம்
FALSE,சகலர்
FALSE,சகோதரி
TRUE,சங்கமம்
TRUE,சஞ்சிதம்
TRUE,சத்திரம்
TRUE,சந்திரன்
FALSE,சபதம்
FALSE,சமயம்
FALSE,சமாதி
TRUE,சம்பத்து
TRUE,சம்மதம்
FALSE,சரவணம்
FALSE,ஜலம்
FALSE,சாகை
FALSE,சாதனம்
TRUE,சாந்திரம்
FALSE,சாரதி
TRUE,சிகிச்சை
TRUE,சிட்சை
TRUE,சிரத்தை
FALSE,சிரேஷ்டன்
TRUE,சீமந்தம்
TRUE,சுகிர்தம்
FALSE,சுரம்
FALSE,சூசிகை
FALSE,சேஷ்டை
TRUE,சொப்பனம்
FALSE,சோலி
FALSE,தகநம்
TRUE,தத்துவம்
FALSE,தமரகம்
FALSE,திராசு
FALSE,தருமம்
FALSE,தாபரம்
TRUE,தாரதம்மியம்
TRUE,தியானித்தல்
TRUE,திருத்தி
TRUE,தீர்த்தம்
FALSE,துரியம்
FALSE,தூரம்
FALSE,தேவன்
TRUE,நடராஜமூர்த்தி
FALSE,நமஸ்காரம்
FALSE,நாதன்
TRUE,நிச்சயம்
FALSE,நிபுணர்
TRUE,நியமித்தல்
TRUE,நிர்ப்பந்தம்
FALSE,பகிஷ்காரம்
TRUE,பட்சம்
FALSE,பதுமாவதி
TRUE,பந்தி
TRUE,பரிசுத்தம்
FALSE,பலி
FALSE,பாஷியம்
FALSE,பாரம்
TRUE,பிச்சை
FALSE,பிரகாசம்
FALSE,பிரசுரம்
TRUE,பிரத்தாபம்
FALSE,பிரமாணம்
FALSE,பிரயாணம்
FALSE,பிராணவாயு
FALSE,பீசம்
TRUE,புண்ணிய பாவம்
FALSE,புரோகிதன்
FALSE,பூமி
FALSE,போகம்
TRUE,மகத்துவம்
FALSE,மது
TRUE,மந்தம்
FALSE,மாத்சரியம்
FALSE,மிதம்
FALSE,மூடிகம்
FALSE,மோகம்
TRUE,யுத்தகளம்
FALSE,யோசனை
TRUE,வசந்தம்
TRUE,வதந்தி
FALSE,வயது
FALSE,வருணம்
TRUE,வாஞ்சை
FALSE,வாயு
FALSE,விசாரணை
TRUE,விஞ்ஞாபனம்
FALSE,விதி
TRUE,விபத்து
FALSE,விரதம்
FALSE,விவரணம்
TRUE,வேதாந்தம்
FALSE,திடீரெனல்
FALSE,அறியொணாதது
FALSE,தழல்
TRUE,சோம்பல்
TRUE,நன்மையல்லாதது
FALSE,தலைவன்
FALSE,அடைவு
TRUE,பயனின்மை
FALSE,துணை
TRUE,பழக்கம்
FALSE,நிலை
FALSE,பிறிது
TRUE,குற்றம்
TRUE,புதுப்புனலாட்டு
FALSE,அவா
TRUE,பங்கு
FALSE,விடியல்
FALSE,அழகு
TRUE,துன்பம்
FALSE,வெளி
FALSE,அணை
TRUE,பற்று
FALSE,உதவி
FALSE,மேலீடு
FALSE,பொய்
TRUE,படைக்கலம்
TRUE,சூழ்ச்சி
FALSE,அவா
FALSE,இனிமை
FALSE,மறைபொருள்
FALSE,மாமணி
FALSE,தவசி
FALSE,தொடர்
TRUE,உப்பு
TRUE,பாகுமருந்து
TRUE,மேன்மை
TRUE,வள்ளன்மை
TRUE,உயர்ச்சி
TRUE,வழிநடத்துதல்
TRUE,வெறுப்பு
FALSE,ஈயாமை
FALSE,இளமை
FALSE,காரணம்
TRUE,வருத்தம்
TRUE,மணப்பொருட்கூட்டு
TRUE,சிவப்பேறு
FALSE,அகநாழிகை
FALSE,வான்
FALSE,பிடித்தல்
TRUE,சடங்கு
FALSE,இசை
FALSE,மணமாகாப் பெண்
TRUE,வயிற்றுவலி
TRUE,அச்சம்
FALSE,மலிவு
TRUE,நெருக்கம்
TRUE,அச்சம்
FALSE,ஒலி
FALSE,சமயம்
TRUE,களிப்பு
TRUE,நன்றாகச் செய்யப்பட்டது
FALSE,தணிவு
TRUE,கூட்டம்
TRUE,தொகுத்தல்
TRUE,வணக்கம்
FALSE,இறையிலி
TRUE,நன்னெறி
TRUE,பிறந்தநாட் குறிப்பு
TRUE,வன்மை
FALSE,கடவுள்
TRUE,ஓய்வு
FALSE,அழகு
FALSE,ஓவியம்
TRUE,மகளுக்குக் கொடுக்கும் கொடை
FALSE,கடிது
TRUE,பிழைப்பு
TRUE,இயல்பு
TRUE,வெண்மை
FALSE,வேல்
TRUE,படைத்தலைவன்
TRUE,குறிப்பாளர்
FALSE,அறிவு
TRUE,ஒறுப்பு
TRUE,ஆண்யானை
TRUE,அன்பு
FALSE,மிடி
TRUE,நீர்வேட்கை
TRUE,தாழ்த்தல்
TRUE,கண்ணேறு
FALSE,பெண்
TRUE,ஒளியால்வழிபடுகை
TRUE,வம்பன்
TRUE,பழிச்சொல்
TRUE,கடவுளிடத்தன்பு
FALSE,மெய்
FALSE,இடையர்
FALSE,அழிவு
FALSE,மெய்
TRUE,உறக்கம்
FALSE,ஒழுங்கு
TRUE,பொருப்பு
FALSE,புதுமை
FALSE,ஆ
FALSE,சொல்
FALSE,இலை
FALSE,பகடி
FALSE,வலிவு
TRUE,நஞ்சு
FALSE,கலம்
TRUE,நினைப்பு
FALSE,வில்
TRUE,படைப்பு
TRUE,கோயில் கொள்ளுவித்தல்
TRUE,பெருந்தகை
FALSE,அறியாமை
TRUE,உலக ஒடுக்கம்
TRUE,விருப்பம்
FALSE,மலர்
TRUE,தோள்வலி
TRUE,இன்மை
FALSE,வேறுபாடு
TRUE,இயற்கைப் பொருள் நூல்
FALSE,சுடுகாடு
FALSE,முழுமனது
FALSE,நினைவு
FALSE,புலால்
FALSE,முகமன்
FALSE,வான்
TRUE,முயற்சி
TRUE,மனவொருக்கம்
TRUE,பூப்பு நீராட்டு
FALSE,எழில்
TRUE,கால்வழி
TRUE,வகுப்பு
FALSE,மொழி
TRUE,வாயாலெடுப்பு
TRUE,நட்பு
TRUE,நம்பிக்கை
TRUE,அழிவழக்கு
TRUE,வணக்கம்
TRUE,வழக்கு
FALSE,முகவரி
FALSE,பரிசு
TRUE,வெறுப்பு
FALSE,அகராதி
TRUE,அக்கிரகாரம்
TRUE,அங்கீகரணம்
FALSE,அசல்
TRUE,அஞ்ஞானம்
FALSE,அதிதி
TRUE,அத்தியட்சன்
FALSE,அநாதி
TRUE,அநுபந்தம்
FALSE,அநுமதி
TRUE,அந்தரங்கம்
TRUE,அபகரித்தல்
FALSE,அபாயம்
TRUE,அபிப்பிராயம்
TRUE,அப்பு
TRUE,அயோக்கிதை
TRUE,அர்ச்சனை
FALSE,அவகாசம்
FALSE,அற்பம்
FALSE,ஆகுலம்
FALSE,ஆசாரம்
FALSE,ஆஸ்தி
FALSE,ஆதி
TRUE,ஆத்திரம்
TRUE,ஆயத்தம்
TRUE,ஆரம்பம்
FALSE,ஆவலாதி
TRUE,இடம்பம்
TRUE,இந்திரியங்கள்
FALSE,இரசாபாசம்
FALSE,இராஜதானி
FALSE,இதயம்
TRUE,இலக்குமி
FALSE,இலாடம்
FALSE,ஈநம்
FALSE,உஷ்ணம்
TRUE,உத்தமம்
FALSE,உபகாரம்
TRUE,உபாத்தியாயன்
TRUE,உரொக்கம்
TRUE,ஊகித்தல்
FALSE,ஏகம்
FALSE,ஔபாசனம்
FALSE,கணிதம்
FALSE,கந்நிகை
TRUE,கருத்தா
FALSE,கவி
TRUE,காலச்சேபம்
TRUE,கிரகித்தல்
FALSE,கிருபை
FALSE,குஷ்டம்
FALSE,குருபக்தி
FALSE,கோஷ்டம்
FALSE,சகவாசம்
FALSE,சகோதரி
TRUE,சங்கமம்
FALSE,சடுதி
TRUE,சத்திரம்
TRUE,சந்திரன்
FALSE,சபதம்
FALSE,சமயம்
FALSE,சமாநம்
TRUE,சம்பந்தம்
FALSE,சம்ரக்ஷணை
FALSE,சரவணம்
FALSE,சலதோஷம்
FALSE,சாகை
FALSE,சாதனம்
FALSE,சாபம்
FALSE,சாராம்சம்
TRUE,சிகித்சை
TRUE,சிட்சை
TRUE,சிரத்தை
TRUE,சிலாகித்தல்
TRUE,சீமந்த புத்திரன்
TRUE,சுக்கிரவாரம்
FALSE,சுருதி
FALSE,சூதகம்
FALSE,சேஷ்டை
FALSE,சோதரன்
FALSE,சௌகரியம்
TRUE,தக்கணம்
TRUE,தத்துவம்
FALSE,தமாஷ்
FALSE,திராசு
FALSE,தலம்
FALSE,தாபரம்
TRUE,தாற்பரியம்
FALSE,திரம்
TRUE,திருப்தி
TRUE,தீர்த்தம்
FALSE,துரியாதீதம்
FALSE,தூரம்
FALSE,தேவஸ்தானம்
FALSE,நடராஜன்
FALSE,நயம்
FALSE,நாநாவிதம்
FALSE,நிஷ்டூரம்
FALSE,நிமிஷம்
TRUE,நியமித்தல்
TRUE,நிர்ப்பந்தம்
TRUE,பகிரங்கம்
TRUE,பட்சி
FALSE,பத்மாசநி
TRUE,பயங்கரம்
FALSE,பரிதாபம்
TRUE,பலித்தல்
FALSE,பாணி
FALSE,பாரம்
TRUE,பிட்சை
FALSE,பிரகிருதி
TRUE,பிரதட்சிணம்
TRUE,பிரத்தியக்ஷம்
FALSE,பிரமாணம்
FALSE,பிரயாணம்
FALSE,பிராணவாயு
FALSE,பீடம்
TRUE,புண்ணிய பாவம்
FALSE,புவனி
FALSE,பூமி
FALSE,போசனம்
FALSE,மகாராசன்
FALSE,மதுகரம்
TRUE,மந்தாரம்
FALSE,மாற்சரியம்
TRUE,மித்திரன்
FALSE,மூஷிகம்
TRUE,மோட்சம்
TRUE,யுத்தகளம்
FALSE,ரசம்
TRUE,வசந்தம்
TRUE,வதந்தி
FALSE,வயது
FALSE,வருணம்
FALSE,வாதம்
FALSE,வாரம்
FALSE,விசாரணை
TRUE,விஞ்ஞாபனம்
FALSE,விதி
TRUE,விபத்து
TRUE,விருச்சிகம்
FALSE,விவாகம்
FALSE,வேதாரண்யம்
TRUE,தற்செயல்
TRUE,சினக்குறிப்பு
TRUE,எரியோம்பல்
FALSE,மடி
FALSE,தீமை
TRUE,முதல்வன்
FALSE,கை
FALSE,கேடு
TRUE,அருளிரக்கம்
TRUE,வழக்கம்
FALSE,அழகு
TRUE,நெருக்கம்
FALSE,பிழை
TRUE,உள்ளக்குறிகாட்டல்
TRUE,விருப்பம்
FALSE,குவியல்
FALSE,கதிரோன் வருகை
TRUE,ஒப்பனை
FALSE,நிலை
FALSE,வான்
FALSE,எருவாய்
TRUE,வேட்கை
TRUE,சார்பு
FALSE,அடிமுதல்
FALSE,சிதைவு
FALSE,படை
TRUE,சூழ்தல்
FALSE,விழைவு
TRUE,நன்மை
FALSE,மறை
TRUE,செம்மணி
FALSE,துறவி
FALSE,கடிவாளம்
FALSE,உலகியல்
FALSE,இளகம்
FALSE,தகுதி
TRUE,தண்ணளி
TRUE,மேன்மை
TRUE,மூக்குக்கண்ணாடி
TRUE,உயிர்ப்பொருள்
TRUE,இவறன்மை
FALSE,அழகு
TRUE,பன்றி
FALSE,கொடுமை
FALSE,பொன்
TRUE,நொடித்தான்மலை
FALSE,திருஉள் நாழிகை
TRUE,செய்பவன்
FALSE,வீடு
FALSE,முடி
TRUE,இசைப்பாட்டு
TRUE,புதல்வி
FALSE,பூசுணி
TRUE,இயற்கை
FALSE,பயன்
TRUE,துன்பம்
TRUE,கூச்சம்
FALSE,சொல்
TRUE,அற்றம்
FALSE,திருமுன்
FALSE,வடமொழி
TRUE,உடன்பாடு
FALSE,ஐயம்
TRUE,தொன்றுதொட்ட வழக்கு
FALSE,கால்
